name,price,rating,distance,latitude,longitude
Azzurro,,4.0,758.810086136759,53.020554,18.570606
Coffeeheaven,,5.0,902.7010080515606,53.020554,18.570606
Czarny Tulipan,,4.0,239.25515823261716,53.013617,18.580471
Azzurro,,4.0,368.8390231693737,53.013617,18.580471
Budzik Coffee,,5.0,754.1584364136224,53.013617,18.580471
Gepetto,,5.0,432.9174820478508,53.013617,18.580471
Mr. Capone,,5.0,759.7778634654718,53.013617,18.580471
Sklep Bar na Rozdrożu Pudełek Brygida,,5.0,752.730376881098,53.013617,18.580471
Bar Panda,$,2.0,937.5133043179303,53.013617,18.580471
Gepetto,,5.0,165.57069708158318,53.018989,18.580011
Budzik Coffee,,5.0,638.147276932398,53.018989,18.580011
Mr. Capone,,5.0,647.4473772744054,53.018989,18.580011
Azzurro,,4.0,619.2384878988066,53.018989,18.580011
Sklep Bar na Rozdrożu Pudełek Brygida,,5.0,1201.2899135220273,53.018989,18.580011
Czarny Tulipan,,4.0,833.4763616578336,53.018989,18.580011
Bar Panda,$,2.0,1255.4642878175894,53.018989,18.580011
Jadłostacja,,4.0,842.4096472252247,53.049682,18.578734
Firma Handlowo Usługowa Apollo Pyskło Piotr,$$,2.0,761.9002160431112,53.049682,18.578734
Nice Kebab,$$,1.0,881.1815058877723,53.049682,18.578734
Pub Duet,$$,2.0,818.9209608140142,53.049682,18.578734
Cafe Molus,$,4.0,750.0775730361343,53.035522,18.599119
Bar Klif,$,3.0,105.68292653726738,53.035522,18.599119
La Grande,,4.0,368.3546192030528,53.035522,18.599119
Presto,,4.5,795.0838899175191,53.035522,18.599119
Chang-Lin,,5.0,153.79248896126268,53.027043,18.679764
Cukiernia Lenkiewicz,$,5.0,370.910649315498,53.027043,18.679764
Cube Cafe,,3.5,1093.5184529257601,53.027043,18.679764
Manekin,$,3.8,315.03449557319885,53.015872,18.601638
Pierogarnia Stary Toruń,$$,4.4,547.3643014716915,53.015872,18.601638
Browar Staromiejski Jan Olbracht,$$,3.8,601.2205586788448,53.015872,18.601638
Stare Metropolis,$$$$,4.9,750.1724900814498,53.015872,18.601638
Restauracja Po Naszemu Sp. z o.o.,$$,4.8,467.0815393852931,53.015872,18.601638
Cukiernia Lenkiewicz,$$,4.8,780.1261250770531,53.015872,18.601638
Cafe Lenkiewicz,$$,4.5,612.3777211363883,53.015872,18.601638
Chleb i Wino,$$,4.3,580.446230258375,53.015872,18.601638
Coffee & Whisky House,$$,4.3,814.2973218907573,53.015872,18.601638
Pizzeria Piccolo,$,4.0,557.9203282319824,53.015872,18.601638
Mediterian,,3.3,1012.1769010885813,53.031525,18.610275
Presto,,4.5,636.1152085111797,53.031525,18.610275
Bar Klif,$,3.0,838.1762091059667,53.031525,18.610275
Mediterian,,3.3,149.78692079318898,53.023882,18.61791
Eragon,,4.0,881.977005059279,53.023882,18.61791
Pizzeria Goya,,1.0,833.2070074268879,53.023882,18.61791
Manekin,$,3.8,246.66149344463977,53.012029,18.596202
Pierogarnia Stary Toruń,$$,4.4,682.0206500608324,53.012029,18.596202
Stare Metropolis,$$$$,4.9,741.9482333648027,53.012029,18.596202
Browar Staromiejski Jan Olbracht,$$,3.8,641.5790637994288,53.012029,18.596202
Chleb i Wino,$$,4.3,534.7395038215392,53.012029,18.596202
Cafe Lenkiewicz,$$,4.5,609.1657920556814,53.012029,18.596202
Cukiernia Lenkiewicz,$$,4.8,924.3188143894552,53.012029,18.596202
Coffee & Whisky House,$$,4.3,615.9294902833656,53.012029,18.596202
Restauracja Po Naszemu Sp. z o.o.,$$,4.8,687.6061375344049,53.012029,18.596202
Pizzeria Piccolo,$,4.0,799.4599787899285,53.012029,18.596202
Bar Klif,$,3.0,725.8345127069239,53.041102,18.598109
La Grande,,4.0,881.539102369612,53.041102,18.598109
Pizzeria Goya,,1.0,305.41184345565557,53.024134,18.609268
Mediterian,,3.3,712.242537675572,53.024134,18.609268
Eragon,,4.0,412.24855124942445,53.024134,18.609268
Presto,,4.5,690.226796428769,53.024134,18.609268
Pub Duet,$$,2.0,22.20328366731588,53.042366,18.580832
Jadłostacja,,4.0,63.8956521404031,53.042366,18.580832
Nice Kebab,$$,1.0,79.72312361338842,53.042366,18.580832
Firma Handlowo Usługowa Apollo Pyskło Piotr,$$,2.0,63.64872484766087,53.042366,18.580832
La Grande,,4.0,1367.528667692699,53.042366,18.580832
Budzik Coffee,,5.0,10.256947531332537,53.01726,18.571075
Mr. Capone,,5.0,19.567790734113927,53.01726,18.571075
Azzurro,,4.0,425.63520575151233,53.01726,18.571075
Gepetto,,5.0,597.605140130344,53.01726,18.571075
Coffeeheaven,,5.0,787.8614336347708,53.01726,18.571075
Czarny Tulipan,,4.0,871.2160383869889,53.01726,18.571075
Manekin,$,3.8,1284.663888415419,53.021252,18.613106
Restauracja Po Naszemu Sp. z o.o.,$$,4.8,1041.384962522933,53.021252,18.613106
Pizzeria Piccolo,$,4.0,1008.174799696076,53.021252,18.613106
Loft79,$$$,3.3,735.6990357003142,53.021252,18.613106
Cukiernia Zyska,$$,5.0,943.4065791976765,53.021252,18.613106
Mediterian,,3.3,580.4487382133666,53.021252,18.613106
Eragon,,4.0,508.7662514409428,53.021252,18.613106
Pizzeria Da Grasso,$$$,2.5,968.8021249433879,53.021252,18.613106
Pizzeria Goya,,1.0,513.035640683159,53.021252,18.613106
