name,price,rating,distance,latitude,longitude
Manekin,,8.4,790,53.007485,18.600735
Jan Olbracht Browar Staromiejski,2.0,7.8,523,53.007485,18.600735
Stare Metropolis,1.0,7.2,487,53.007485,18.600735
Widelec,2.0,6.6,659,53.017646,18.635777
PIE TOWN Małgorzata Mitręga,,,143,53.017646,18.635777
"Arkadiusz Owsianik Przedsiębiorstwo Handlowo-Usługowe ""Pizza Drive""",,,215,53.017646,18.635777
McDonald's,1.0,6.1,902,53.017646,18.635777
KFC,1.0,6.0,803,53.017646,18.635777
Orient Express,2.0,,457,53.017646,18.635777
Pensjonat Winnica,,,495,53.017646,18.635777
Elżbieta. FPH. Bukowska E.,,,594,53.017646,18.635777
Pub Mokre Kurtyka Mirosława,2.0,,616,53.017646,18.635777
Byczy Burger,1.0,,737,53.017646,18.635777
